-1 | -1 | -1 | 45 | #SUP: 3282
-1 | -1 | -1 | 46 | #SUP: 2959
-1 | -1 | -1 | 47 | #SUP: 2910
-1 | -1 | -1 | 48 | #SUP: 2894
-1 | -1 | 0 | -1 | #SUP: 2864
-1 | -1 | 1 | -1 | #SUP: 2951
-1 | -1 | 1 | 33 | #SUP: 1046
-1 | -1 | 2 | -1 | #SUP: 3172
-1 | -1 | 2 | 14 | #SUP: 1033
-1 | -1 | 4 | -1 | #SUP: 2877
-1 | -1 | 5 | -1 | #SUP: 2856
-1 | -1 | 6 | -1 | #SUP: 3507
-1 | -1 | 6 | 41 | #SUP: 1104
-1 | -1 | 8 | -1 | #SUP: 2627
-1 | -1 | 9 | -1 | #SUP: 2855
-1 | -1 | 10 | -1 | #SUP: 2573
-1 | -1 | 11 | -1 | #SUP: 2932
-1 | -1 | 12 | -1 | #SUP: 3317
-1 | -1 | 13 | -1 | #SUP: 2828
-1 | -1 | 14 | -1 | #SUP: 3032
-1 | -1 | 17 | -1 | #SUP: 3146
-1 | -1 | 18 | -1 | #SUP: 2893
-1 | -1 | 19 | -1 | #SUP: 2645
-1 | -1 | 21 | -1 | #SUP: 2773
-1 | -1 | 22 | -1 | #SUP: 3316
-1 | -1 | 22 | 14 | #SUP: 1106
-1 | -1 | 23 | -1 | #SUP: 2764
-1 | -1 | 24 | -1 | #SUP: 2858
-1 | -1 | 24 | 41 | #SUP: 1001
-1 | -1 | 25 | -1 | #SUP: 3426
-1 | -1 | 26 | -1 | #SUP: 2871
-1 | -1 | 27 | -1 | #SUP: 3144
-1 | -1 | 28 | -1 | #SUP: 3088
-1 | -1 | 29 | -1 | #SUP: 2935
-1 | -1 | 30 | -1 | #SUP: 2993
-1 | -1 | 31 | -1 | #SUP: 2627
-1 | -1 | 33 | -1 | #SUP: 3313
-1 | -1 | 34 | -1 | #SUP: 3212
-1 | -1 | 34 | 12 | #SUP: 1067
-1 | -1 | 37 | -1 | #SUP: 3303
-1 | -1 | 38 | -1 | #SUP: 2998
-1 | -1 | 39 | -1 | #SUP: 2786
-1 | -1 | 40 | -1 | #SUP: 3126
-1 | -1 | 40 | 41 | #SUP: 1363
-1 | -1 | 41 | -1 | #SUP: 3292
-1 | -1 | 42 | -1 | #SUP: 3103
-1 | -1 | 45 | -1 | #SUP: 3194
-1 | -1 | 46 | -1 | #SUP: 2866
